author,rate,title
作者:[美]G.伽莫夫,9.1,从一到无穷大
作者:[法]托克维尔,9.2,论美国的民主
作者:(美)斯塔夫里阿诺斯,9.2,全球通史(上)
"作者:（美）斯塔夫里阿诺斯（Stavrianos,L.S.）",9.2,全球通史(下)
作者:曹天元,9.2,上帝掷骰子吗
作者:[奥]莱内·马利亚·里尔克,9.1,给青年诗人的信
作者:[英]王尔德,9.2,快乐王子
作者:[美]史蒂夫·迈克康奈尔,9.3,代码大全（第2版）
作者:StanleyB.Lippman/JoséeLaJoie/BarbaraE.Moo,9.2,C++Primer中文版（第4版）
作者:刘慈欣,9.3,三体Ⅱ
作者:[丹麦]金·弗珀兹·艾克松/文/[瑞典]爱娃·艾瑞克松/图,9.3,爷爷变成了幽灵
作者:[美]斯蒂芬·金,9.1,肖申克的救赎
作者:（丹麦）安徒生,9.2,安徒生童话故事集
作者:路遥,9.1,平凡的世界（全三册）
作者:三毛,9.2,撒哈拉的故事
作者:[美国]玛格丽特·米切尔,9.3,飘
作者:[明]罗贯中,9.3,三国演义（全二册）
作者:[英]王尔德,9.1,王尔德童话
作者:卡里·纪伯伦,9.1,先知
作者:[法]阿尔贝·加缪,9.1,加缪文集
作者:[英]瑞·蒙克,9.2,维特根斯坦传
作者:中国社会科学院语言研究所编,9.2,新华字典（1998年修订本）
作者:兰晓龙,9.3,我的团长我的团（上部）
作者:埃利奥特·阿伦森ElliotAronson,9.1,社会性动物
作者:[美]迈克尔·桑德尔,9.0,公正
作者:[美]ErichGamma/RichardHelm/RalphJohnson/JohnVlissides,9.1,设计模式
作者:[德]叔本华,9.1,人生的智慧
作者:[美]R·柯朗H·罗宾著/I·斯图尔特修订,9.1,什么是数学
作者:[晋]陈寿撰/[宋]裴松之注,9.3,三国志（全五册）
作者:当年明月,9.1,明朝那些事儿（1-9）
作者:[奥]斯蒂芬·茨威格,9.2,昨日的世界
作者:萧涤非/等,9.3,唐诗鉴赏辞典
作者:幾米,9.0,星空
作者:[阿根廷]博尔赫斯,9.2,博尔赫斯小说集
